customer_state,total_orders,total_revenue,unique_customers
SP,41126,5878935.99,39748
RJ,12698,2115994.28,12242
MG,11496,1843460.37,11134
RS,5417,877803.80,5234
PR,4983,794653.20,4825
SC,3600,608180.51,3502
BA,3344,607041.45,3244
DF,2121,351487.63,2058
GO,1998,340626.24,1934
ES,2018,323105.75,1950
PE,1643,321120.88,1600
CE,1323,274549.81,1301
PA,969,217484.52,944
MT,902,186222.41,872
MA,736,150691.70,715
PB,531,140519.57,516
MS,708,135929.68,687
PI,490,107859.45,478
RN,482,101908.60,471
AL,411,96252.70,399
SE,345,73032.32,338
TO,278,61103.85,271
RO,246,57433.47,234
AM,147,27846.44,142
AC,81,19680.62,77
AP,68,16262.80,67
RR,45,9948.97,44
