order_month,total_orders,total_revenue,avg_order_value
2016-09-01,1,136.23,136.23
2016-10-01,293,51657.53,176.31
2016-12-01,1,19.62,19.62
2017-01-01,787,137006.76,174.09
2017-02-01,1718,283621.94,165.09
2017-03-01,2617,425656.40,162.65
2017-04-01,2377,405988.38,170.80
2017-05-01,3640,582926.16,160.14
2017-06-01,3205,499827.47,155.95
2017-07-01,3946,578858.58,146.70
2017-08-01,4272,662071.77,154.98
2017-09-01,4227,717195.22,169.67
2017-10-01,4547,764785.28,168.20
2017-11-01,7423,1172639.23,157.97
2017-12-01,5620,861914.46,153.37
2018-01-01,7187,1102639.41,153.42
2018-02-01,6625,979966.23,147.92
2018-03-01,7168,1152736.74,160.82
2018-04-01,6919,1156303.91,167.12
2018-05-01,6833,1145748.63,167.68
2018-06-01,6145,1020494.29,166.07
2018-07-01,6233,1039880.16,166.83
2018-08-01,6421,996896.15,155.26
2018-09-01,1,166.46,166.46
